koda,ime,priimek,skupna_uvrstitev,skupno_st_tock,poleti_uvrstitev,poleti_st_tock,drzava,leto,spol
72563,Severin,Freund,1,1729,2,336,GER,2015,M
131309,Peter,Prevc,1,1729,1,345,SLO,2015,M
128286,Stefan,Kraft,3,1578,7,190,AUT,2015,M
140329,Anders,Fannemel,4,1161,6,197,NOR,2015,M
117835,Michael,Hayboeck,5,1157,13,91,AUT,2015,M
29533,Noriaki,Kasai,6,1137,4,227,JPN,2015,M
104161,Roman,Koudelka,7,1113,28,35,CZE,2015,M
142646,Rune,Velta,8,848,5,200,NOR,2015,M
73228,Kamil,Stoch,9,820,16,77,POL,2015,M
106378,Gregor,Schlierenzauer,10,739,18,58,AUT,2015,M
973,Simon,Ammann,11,646,,0,SUI,2015,M
128618,Richard,Freitag,12,622,19,52,GER,2015,M
75837,Jurij,Tepes,13,554,3,287,SLO,2015,M
12274,Jernej,Damjan,14,535,15,78,SLO,2015,M
117441,Markus,Eisenbichler,15,529,14,90,GER,2015,M
73166,Daiki,Ito,16,513,10,99,JPN,2015,M
90663,Anders,Jacobsen,17,511,27,36,NOR,2015,M
2950,Anders,Bardal,18,477,,0,NOR,2015,M
73232,Piotr,Zyla,19,474,11,96,POL,2015,M
73277,Taku,Takeuchi,20,363,17,68,JPN,2015,M
43223,Michael,Neumayer,21,347,9,107,GER,2015,M
157213,Marinus,Kraus,22,327,30,33,GER,2015,M
147549,Johann Andre,Forfang,23,325,8,151,NOR,2015,M
131935,Nejc,Dezman,24,224,24,47,SLO,2015,M
117496,Matjaz,Pungertar,25,205,54,1,SLO,2015,M
32297,Robert,Kranjec,26,201,21,49,SLO,2015,M
124118,Gregor,Deschwanden,27,189,32,24,SUI,2015,M
13322,SEVOIE Vincent,Descombes,28,179,26,39,FRA,2015,M
68743,Andreas,Kofler,29,173,,0,AUT,2015,M
135119,Lauri,Asikainen,30,157,51,2,FIN,2015,M
156410,Phillip,Sjoeen,31,155,40,13,NOR,2015,M
136813,Jarkko,Maatta,32,151,33,21,FIN,2015,M
17013,Manuel,Fettner,33,146,25,44,AUT,2015,M
63739,Dmitriy,Vassiliev,34,145,22,48,RUS,2015,M
174244,Andreas,Wellinger,35,137,,0,GER,2015,M
112295,Andreas,Stjernen,36,134,11,96,NOR,2015,M
106377,Manuel,Poppinger,37,128,22,48,AUT,2015,M
117450,Stephan,Leyhe,38,120,37,16,GER,2015,M
108891,Tom,Hilde,39,118,37,16,NOR,2015,M
38651,Jan,Matura,40,114,34,20,CZE,2015,M
112735,Kenneth,Gangnes,41,113,19,52,NOR,2015,M
120379,Klemens,Muranka,42,102,39,14,POL,2015,M
124157,Thomas,Diethart,43,99,44,10,AUT,2015,M
126003,Junshiro,Kobayashi,44,95,31,26,JPN,2015,M
147547,Daniel Andre,Tande,45,81,42,12,NOR,2015,M
100406,Shohei,Tochimoto,46,79,34,20,JPN,2015,M
174079,Vladislav,Boyarintsev,47,77,,0,RUS,2015,M
128281,Aleksander,Zniszczol,48,75,36,17,POL,2015,M
128456,Kento,Sakuyama,49,62,45,9,JPN,2015,M
123925,Jan,Ziobro,50,55,,0,POL,2015,M
72592,Andreas,Wank,51,54,,0,GER,2015,M
102371,Davide,Bresadola,52,48,46,8,ITA,2015,M
111251,Dawid,Kubacki,53,35,,0,POL,2015,M
122992,Ville,Larinto,53,35,,0,FIN,2015,M
130646,Anze,Semenic,53,35,28,35,SLO,2015,M
27594,Jakub,Janda,56,34,,0,CZE,2015,M
128111,Ilmir,Hazetdinov,57,32,,0,RUS,2015,M
445,Janne,Ahonen,58,29,46,8,FIN,2015,M
164621,Cene,Prevc,59,27,,0,SLO,2015,M
152956,Mikhail,Maksimochkin,60,26,,0,RUS,2015,M
75148,Antonin,Hajek,61,24,40,13,CZE,2015,M
162711,Anze,Lanisek,62,23,,0,SLO,2015,M
121678,Sami,Niemi,63,19,,0,FIN,2015,M
110540,Anssi,Koivuranta,64,18,,0,FIN,2015,M
118113,Maciej,Kot,65,17,,0,POL,2015,M
153777,Killian,Peier,66,15,,0,SUI,2015,M
140331,Joachim,Hauer,67,14,50,3,NOR,2015,M
128448,Ulrich,Wohlgenannt,67,14,43,11,AUT,2015,M
134127,CHAPPUIS Ronan,Lamy,69,13,,0,FRA,2015,M
117461,Daniel,Wenig,70,11,51,2,GER,2015,M
111930,Vladimir,Zografski,70,11,,0,BUL,2015,M
35788,Wolfgang,Loitzl,72,8,,0,AUT,2015,M
90236,Denis,Kornilov,73,6,,0,RUS,2015,M
106257,Tomaz,Naglic,73,6,,0,SLO,2015,M
128621,Karl,Geiger,75,5,,0,GER,2015,M
128806,Robert,Johansson,75,5,,0,NOR,2015,M
132096,Rok,Justin,75,5,48,5,SLO,2015,M
115912,Nicholas,Alexander,78,4,,0,USA,2015,M
25074,Lukas,Hlava,78,4,,0,CZE,2015,M
73229,Stefan,Hula,78,4,,0,POL,2015,M
113115,Ole Marius,Ingvaldsen,78,4,49,4,NOR,2015,M
10086,Seou,Choi,82,2,,0,KOR,2015,M
